day,class,cell density
5,control,36566125.29
5,control,29888667.9
5,control,34743269.91
5,control,48279526.36
5,control,31633779.83
5,control,39545035.35
5,eT,23063696.76
5,eT,14040368.27
5,eT,20732969.02
5,eT,23950750.43
5,eT,19855187.24
5,eT,28191689.21
5,eCO2,41193285.93
5,eCO2,35904005.27
5,eCO2,30440842.07
5,eCO2,22411854.2
5,eCO2,33224865.35
5,eCO2,27158444.02
5,eCO2eT,16689461.49
5,eCO2eT,30651862.95
5,eCO2eT,19046447.25
5,eCO2eT,28064264.55
5,eCO2eT,29036173.83
5,eCO2eT,23415354.33
10,control,35111621.01
10,control,36606842.13
10,control,35632861.64
10,control,39245676.48
10,control,36070391.25
10,control,37142857.14
10,eT,2970517.219
10,eT,2501209.311
10,eT,4524865.748
10,eT,6261573.054
10,eT,4198119.826
10,eT,1930116.863
10,eCO2,39710876.95
10,eCO2,23304203.08
10,eCO2,28223255.81
10,eCO2,37799639.25
10,eCO2,42843980.34
10,eCO2,23511214.23
10,eCO2eT,3725184.897
10,eCO2eT,8426458.733
10,eCO2eT,9325441.937
10,eCO2eT,6095575.221
10,eCO2eT,5169830.17
10,eCO2eT,7670380.364
14,control,41002423.16
14,control,54775530.78
14,control,45201163.35
14,control,42806826.55
14,control,33948670.27
14,control,40508708.48
14,eT,807536.3747
14,eT,751818.3514
14,eT,197260.0364
14,eT,1597495.328
14,eT,1333851.373
14,eT,738383.1954
14,eCO2,38298658.48
14,eCO2,39404179.43
14,eCO2,36617326.79
14,eCO2,45237768.32
14,eCO2,35808675.51
14,eCO2,37400041.01
14,eCO2eT,3889931.842
14,eCO2eT,1192480.359
14,eCO2eT,1530577.499
14,eCO2eT,2110741.125
14,eCO2eT,528811.0868
14,eCO2eT,1298384.341
