Reported m/z,Reported ion,Monoisotopic Mass (Da),Molecular Formula,Reported compound name,Genus,Endnote Reference,ref
,,117.078979,C5H11NO2,Glycine betaine,Scleractinia,"{Hill, 2010 #6294}","(Hill, Li, Jones, Gunn, & Frade, 2010)"
,,126.042931,C5H6N2O2,5-methyluracil ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
,,131.094635,C6H13NO2,Beta-alanine betaine ,Scleractinia,"{Hill, 2010 #6294}","(Hill et al., 2010)"
,,131.095,C6H13NO2,Alanine betaine,Scleractinia,"{Hill, 2010 #6294}","(Hill et al., 2010)"
135,[M+H]+,134.040146,C5H10O2S,Dimethylsulfoniopropionate ,Acropora,"{Swan, 2017 #6295}","(Swan, Deschaseaux, Jones, & Eyre, 2017)"
,,137.047684,C7H7NO2,Trigonelline ,Scleractinia,"{Hill, 2010 #6294}","(Hill et al., 2010)"
,,143.094635,C7H13NO2,Proline betaine,Scleractinia,"{Hill, 2010 #6294}","(Hill et al., 2010)"
,,145.052765,C9H7NO,Indole-3-carboxaldehyde ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
,,159.089543,C7H13NO3,Hydroxyproline betaine,Scleractinia,"{Hill, 2010 #6294}","(Hill et al., 2010)"
,,161.047684,C9H7NO2,Indole-3-carboxylic acid ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
,,176.083725,C11H12O2,"6-hydroxy-2,2-dimethyl-2H-chromene ",Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
199,[M+Na]+,176.1201,C12H16O,Montiporyne G,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
201,[M+Na]+,178.135757,C12H18O,"Dodecane-2,4-diyn-1-ol ",Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
179,[M+H]+,178.1358,C12H18O,"2,4-dodecadiyn-1-ol",Montipora,"{Coll, 1994 #6326}","(Coll et al., 1994)"
,,188.058578,C10H8N2O2,(1H-indol-3-yl) oxoacetamide ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
,,191.058243,C10H9NO3,4-hydroxy-3-methoxy-2(1H)-quinolinone ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
194,[M+H]+,193.085129,C9H11N3O2,Tubastrine,Tubastraea aurea,"{Sakai, 1987 #6341}","(Sakai & Higa, 1987)"
203.0701,[M+H]+,202.063,C12H10O3,"6-hydroxy-2,7-dimethyl-1,4-naphthoquinone ",Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
205,[M+H]+,204.151413,C14H20O,"13-tetradecene-2,4-diyn-1-ol",Montipora,"{Coll, 1994 #6326}","(Coll et al., 1994)"
227,[M+Na]+,204.151413,C14H20O,"13-tetradecene-2,4-diyn- 1-ol ",Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
,,204.151413,C14H20O,"13-tetradecene-2,4-diyn-1-ol ",Montipora,"{Higa, 1990 #6320}","(Higa, Tanaka, Kohagura, & Wauke, 1990)"
,,206.057907,C11H10O4,Scoparone ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
215,[M+H]+,214.1358,C15H18O,Montiporyne L,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
215,[M+H]+,214.1358,C15H18O,Montiporyne M ,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
,,216.09,C12H12N2O2,N-acetyl-_-oxotryptamine ,Scopulariopsis,"{Elnaggar, 2017 #6319}","(Elnaggar et al., 2017)"
239,[M+Na]+,216.1514,C15H20O,Montiporyne A,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
217,[M+H]+,216.1514,C15H20O,Montiporyne A,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
217,[M+H]+,216.1514,C15H20O,Montiporyne B,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
